id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
51011,Scottish Premiership,Celtic,Luke McCowan,5000,260000,5900.0,306800.0,27,AM RLC,Scotland,/football/scottish-premiership/celtic/
51012,Scottish Premiership,Celtic,Viljami Sinisalo,3500,182000,4130.0,214760.0,23,GK,Finland,/football/scottish-premiership/celtic/
51013,Scottish Premiership,Celtic,Callum Osmand,3400,176800,4012.0,208624.0,19,"AM RL, ST",Wales,/football/scottish-premiership/celtic/
51014,Scottish Premiership,Celtic,Ben Summers,2500,130000,2950.0,153400.0,21,AM C,Scotland,/football/scottish-premiership/celtic/
51015,Scottish Premiership,Celtic,Dane Murray,2400,124800,2832.0,147264.0,22,D C,Scotland,/football/scottish-premiership/celtic/
51016,Scottish Premiership,Celtic,Hayato Inamura,2200,114400,2596.0,134992.0,23,D LC,Japan,/football/scottish-premiership/celtic/
51017,Scottish Premiership,Celtic,Francis Turley,1300,67600,1534.0,79768.0,19,DM,N.Ireland,/football/scottish-premiership/celtic/
51018,Scottish Premiership,Celtic,Colby Donovan,930,48360,1097.4,57064.8,18,D RC,Scotland,/football/scottish-premiership/celtic/
51019,Scottish Premiership,Celtic,Tobi Oluwayemi,600,31200,708.0,36816.0,22,GK,England,/football/scottish-premiership/celtic/
51020,Scottish Premiership,Celtic,Thomas Hatton,600,31200,708.0,36816.0,18,AM RL,Scotland,/football/scottish-premiership/celtic/
51021,Scottish Premiership,Celtic,Filip Skorb,550,28600,649.0,33748.0,17,ST,Poland,/football/scottish-premiership/celtic/
51022,Scottish Premiership,Celtic,Emmanuel Obidiwe,480,24960,566.4,29452.8,16,"AM RL, ST",Scotland,/football/scottish-premiership/celtic/
51023,Scottish Premiership,Celtic,Aidan Rice,480,24960,566.4,29452.8,19,GK,Scotland,/football/scottish-premiership/celtic/
51024,Scottish Premiership,Celtic,Finlay Hale,470,24440,554.6,28839.2,18,"D RLC, DM",Scotland,/football/scottish-premiership/celtic/
51025,Scottish Premiership,Celtic,Hayden Borland,450,23400,531.0,27612.0,17,D C,Scotland,/football/scottish-premiership/celtic/
51026,Scottish Premiership,Celtic,Cameron Patterson,450,23400,531.0,27612.0,17,GK,Scotland,/football/scottish-premiership/celtic/
51027,Scottish Premiership,Celtic,Cole Crawford,430,22360,507.4,26384.8,18,M C,Scotland,/football/scottish-premiership/celtic/
51028,Scottish Premiership,Celtic,Samuel Isiguzo,420,21840,495.6,25771.2,18,"AM R, ST",Scotland,/football/scottish-premiership/celtic/
51029,Scottish Premiership,Celtic,Ronan Ferns,410,21320,483.8,25157.6,18,"D C, DM, AM L",Scotland,/football/scottish-premiership/celtic/
51030,Scottish Premiership,Celtic,Hassan Dembélé,410,21320,483.8,25157.6,16,D/WB R,Scotland,/football/scottish-premiership/celtic/
51031,Scottish Premiership,Celtic,Andrew Kyle,410,21320,483.8,25157.6,18,D/WB/AM L,Scotland,/football/scottish-premiership/celtic/
51032,Scottish Premiership,Celtic,Isaac English,400,20800,472.0,24544.0,17,D C,Scotland,/football/scottish-premiership/celtic/
51038,Scottish Premiership,Celtic,Marcus Gill,330,17160,389.4,20248.8,18,GK,Ireland,/football/scottish-premiership/celtic/
51039,Scottish Premiership,Celtic,Jamie Meikle,330,17160,389.4,20248.8,18,GK,England,/football/scottish-premiership/celtic/
51040,Scottish Premiership,Celtic,Rocco Di Giacomo,270,14040,318.6,16567.2,16,AM RC,Scotland,/football/scottish-premiership/celtic/
51041,Scottish Premiership,Celtic,Sam Sedwell,270,14040,318.6,16567.2,17,D L,Scotland,/football/scottish-premiership/celtic/
