name,team,league,apps,minutes,player_id,fotmob_rating,fotmob_mins_played,fotmob_accurate_passes,fotmob_key_passes,fotmob_xa,fotmob_xa_p90,fotmob_xg_xa_p90,fotmob_dribbles_won,defensive_contributions,fotmob_tackles,fotmob_clearances,ball_recovery,fotmob_penalties_conceded,fotmob_clean_sheets,fotmob_save_pct,fotmob_saves,fotmob_goals_prevented,fotmob_goals_conceded,fotmob_fouls,fotmob_yellow_cards,fotmob_interceptions,fotmob_big_chances_created,fotmob_goals,fotmob_goals_assists,fotmob_goals_p90,fotmob_xg,fotmob_xg_p90,fotmob_xgot,fotmob_shots_on_target,fotmob_shots,fotmob_accurate_long_balls,fotmob_big_chances_missed,fotmob_blocks,fotmob_poss_won_att_3rd,fotmob_assists,fotmob_penalties_won,fotmob_red_cards,fotmob_phys_top_speed,fotmob_phys_distance,fotmob_phys_sprints,fotmob_phys_distance_p90,fotmob_phys_sprints_p90,season,row_id,norm_name,source
"Manu Morlanes",8661,"La Liga",,,784241,6.73,1773,42.9,17,1.4,0.07,0.17,0.4,5,2.8,1.1,4.9,,,,,,,1.4,3,1,2,3,3,0.15,2,0.1,2.3,0.2,0.7,2,1,0.1,0.2,,,1,,,,,,2025/2026,24170,,
"Ander Barrenetxea",8560,"La Liga",,,1002618,7.01,1769,29.7,44,4.7,0.24,0.37,2.8,3.1,1.5,0.6,5.4,,,,,,,1.9,5,0.8,11,3,8,0.15,2.6,0.13,2.5,0.6,1.7,1.4,6,0.2,1,5,,,,,,,,2025/2026,24171,,
"Azzedine Ounahi",7732,"La Liga",,,1073143,7.28,1766,39.6,35,4.4,0.23,0.4,3.5,2.5,1.2,0.5,4.1,,,,,,,0.9,7,0.8,11,5,7,0.25,3.4,0.17,6,1,2.6,1.3,,0.1,0.6,2,1,,,,,,,2025/2026,24172,,
"Diego L\\u00f3pez",10267,"La Liga",,,1284434,6.58,1762,20.1,17,2.2,0.11,0.25,0.7,2.3,1.1,0.6,4,,,,,,,1,2,0.5,4,4,5,0.2,2.7,0.14,2.4,0.4,1.4,0.5,4,0.1,0.7,1,,,,,,,,2025/2026,24173,,
"Marcus Rashford",8634,"La Liga",,,696365,7.18,1761,33.5,46,4.6,0.24,0.62,1.5,1.4,0.4,0.7,2.2,,,,,,,0.5,3,0.1,8,8,15,0.41,7.5,0.38,7.5,1.5,3.9,1.3,10,0.2,0.6,7,,,,,,,,2025/2026,24174,,
"Jos\\u00e9 Copete",10267,"La Liga",,,896402,6.68,1760,43.9,5,0.6,0.03,0.11,0.4,9,1.3,5.7,2.6,2,,,,,,1,5,1.1,,,,,1.5,0.08,,,0.7,2.6,3,0.8,0.2,,,,,,,,,2025/2026,24175,,
"Diego Rico",8305,"La Liga",,,488718,6.78,1753,19.4,11,1,0.05,0.07,0.3,7.2,2.4,3,3.7,,,,,,,1.1,4,1.6,1,,,,0.3,0.02,0,0.1,0.6,1.4,,0.2,0.2,,,,,,,,,2025/2026,24176,,
"Hugo Rinc\\u00f3n",7732,"La Liga",,,1427819,6.64,1741,33,10,1,0.05,0.09,0.5,5.7,2.4,2.6,3.4,1,,,,,,1.7,4,0.3,2,1,2,0.05,0.9,0.04,0.4,0.1,0.4,0.9,2,0.5,0.1,1,1,,,,,,,2025/2026,24177,,
"Jon Pacheco",9866,"La Liga",,,1112072,6.64,1734,42.1,5,0.3,0.02,0.03,0.2,8.9,1.9,5.3,3.6,2,,,,,,0.7,4,0.6,1,,,,0.3,0.02,0.1,0.1,0.2,3.3,,1.1,0.1,,,1,,,,,,2025/2026,24178,,
"Jon Olasagasti",8581,"La Liga",,,1131957,6.8,1729,26.2,36,3.2,0.16,0.29,0.6,3.8,1.5,1.2,4.1,,,,,,,1,3,0.7,6,1,6,0.05,2.4,0.13,2.5,0.5,1.5,1.6,4,0.4,0.6,5,,1,,,,,,2025/2026,24179,,
"Kike Garc\\u00eda",8558,"La Liga",,,183353,6.58,1727,13.1,20,2.2,0.12,0.58,0.5,2,0.6,1,2.5,,,,,,,1.7,3,0.3,4,8,9,0.42,8.8,0.46,9.2,1.4,3.1,0.6,11,0.1,0.9,1,,,,,,,,2025/2026,24180,,
"Javi L\\u00f3pez",8670,"La Liga",,,1159181,6.78,1712,31.1,18,1.5,0.08,0.1,0.9,6.3,2.3,2.9,5.5,,,,,,,2,3,1.1,2,,1,,0.5,0.03,0.6,0.1,0.4,1.5,1,0.1,0.1,1,,1,,,,,,2025/2026,24181,,
"Rahim Alhassane",8670,"La Liga",,,1333066,6.64,1710,30.3,17,1.1,0.06,0.06,0.4,7.5,1.8,3.7,4.3,,,,,,,0.5,2,1.7,2,,,,0.1,0,,,0.2,1.2,,0.3,0.1,,,,,,,,,2025/2026,24182,,
"Adri\\u00e1n Liso",8305,"La Liga",,,1541825,6.34,1709,10,4,0.3,0.02,0.13,0.8,2.2,1.5,0.4,2.8,,,,,,,2.1,3,0.2,,3,3,0.16,2.1,0.11,3,0.5,1.4,0.1,2,0.1,0.6,,1,1,,,,,,2025/2026,24183,,
"Ra\\u00fal Asencio",8633,"La Liga",,,1580528,6.88,1706,58.8,5,0.7,0.04,0.1,0.1,5.1,0.9,3,2.7,,,,,,,0.9,4,0.5,1,2,2,0.11,1.2,0.07,1.6,0.2,0.7,1.7,2,0.7,0.1,,,,,,,,,2025/2026,24184,,
"\\u00c1ngel Ortiz",8603,"La Liga",,,1580522,,582,,6,0.8,,,,,,,,,,,,,,,1,,1,,,,0,,,,,,,,,,,,,,,,,2025/2026,24378,,
"Mateo Joseph",8661,"La Liga",,,1344677,6.56,1703,13,14,0.9,0.05,0.32,1,3.6,1.5,1.3,3.4,,,,,,,1,2,0.6,3,2,5,0.11,5.1,0.27,4.1,0.7,1.7,0.1,8,0.2,0.5,3,1,,,,,,,2025/2026,24185,,
"Alfonso Pedraza",10205,"La Liga",,,629594,6.96,1690,25.3,21,2.7,0.14,0.2,1.1,6.1,2.2,2.1,4.4,1,,,,,,1.4,8,1.5,6,1,4,0.05,1.1,0.06,0.7,0.2,0.6,1.7,1,0.3,0.3,3,,,,,,,,2025/2026,24186,,
"Nico Williams",8315,"La Liga",,,1202110,7.02,1687,23.4,34,5,0.27,0.55,3.6,1.7,0.8,0.5,4.8,,,,,,,1.4,2,0.4,5,6,9,0.32,5.4,0.29,6.4,0.9,2.5,0.4,4,,1.1,3,1,,,,,,,2025/2026,24187,,
"Kwasi Sibo",8670,"La Liga",,,948745,6.42,1686,31.4,3,0.2,0.01,0.03,0.2,4.9,1.8,1.9,4.4,,,,,,,1.6,3,0.8,,,,,0.4,0.02,0.1,0.1,0.5,1.5,,0.3,0.2,,,1,,,,,,2025/2026,24188,,
"Brais M\\u00e9ndez",8560,"La Liga",,,640122,6.95,1672,38.8,25,2.7,0.15,0.46,1.1,3,2,0.5,4.7,,,,,,,2.3,5,0.4,6,6,8,0.32,5.8,0.31,7.2,0.9,1.9,2,5,0.2,0.9,2,,1,,,,,,2025/2026,24189,,
"Etta Eyong",8581,"La Liga",,,1392779,6.69,1668,10.5,15,1.7,0.09,0.56,0.6,2.8,1.5,1,3,,,,,,,1.7,3,0.3,4,7,11,0.38,8.7,0.47,8.9,1.3,2.7,0.5,11,0.1,1,4,,,,,,,,2025/2026,24190,,
"Pablo Barrios",9906,"La Liga",,,1338192,7.18,1666,50.6,20,2.1,0.11,0.21,1.8,3.8,1.6,0.6,6.2,1,,,,,,0.6,,1.5,3,1,2,0.05,1.8,0.1,1.5,0.3,1.2,2.4,1,0.1,0.6,1,,,,,,,,2025/2026,24191,,
"Ferr\\u00e1n Jutgl\\u00e0",9910,"La Liga",,,1102732,6.88,1663,17.5,15,1.3,0.07,0.43,1.1,2.2,0.6,1.1,2.8,,,,,,,1.3,4,0.4,2,9,12,0.49,6.7,0.36,10.8,1.4,2.4,0.6,8,0.1,0.5,3,,,,,,,,2025/2026,24192,,
"Robert Lewandowski",8634,"La Liga",,,93447,6.95,1656,14.6,14,1.2,0.07,0.83,0.5,1.5,0.3,1.1,1.7,,,,,,,0.7,2,0.2,4,14,16,0.76,14.1,0.77,11.4,1.6,3.4,0.3,16,,0.7,2,,,,,,,,2025/2026,24193,,
"Frenkie de Jong",8634,"La Liga",,,638622,7.32,1631,78.1,35,3.7,0.21,0.27,0.3,4.5,2.5,0.8,4.7,,,,,,,0.6,4,0.9,9,1,6,0.06,1.2,0.06,0.9,0.1,0.4,2.5,,0.2,0.3,5,,1,,,,,,2025/2026,24194,,
"Aitor Paredes",8315,"La Liga",,,1191407,,1629,45.6,4,0.5,0.03,0.09,0.2,7.1,1.2,4.2,3.8,,,,,,,1,4,1.5,1,2,2,0.11,1.1,0.06,2,0.2,0.7,3.3,1,0.2,,,,,,,,,,2025/2026,24195,,
"Arnaut Danjuma",10267,"La Liga",,,704151,6.57,1627,16.8,17,3.5,0.19,0.45,1.5,1.2,0.7,0.3,3.7,,,,,,,1.2,,0.1,6,3,5,0.17,4.7,0.26,5.2,0.8,2,1.1,8,0.1,0.7,2,1,,,,,,,2025/2026,24196,,
"Julen Agirrezabala",10267,"La Liga",,,1280020,,1620,,1,0,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2025/2026,24197,,
"Abel Bretones",8371,"La Liga",,,1323398,6.7,1619,21.6,13,1.8,0.1,0.14,0.7,5.9,1.8,2.8,3.8,,,,,,,0.9,5,1,3,1,3,0.06,0.6,0.04,0.9,0.2,0.6,1.3,,0.3,0.2,2,1,1,,,,,,2025/2026,24198,,
"Batista Mendy",8302,"La Liga",,,1078729,6.65,1619,31.4,9,0.5,0.03,0.09,0.6,4.6,1.9,1.3,5.2,,,,,,,2.1,6,1,,1,1,0.06,1.1,0.06,1.4,0.3,0.9,1.9,,0.3,0.4,,,,,,,,,2025/2026,24199,,
"Unai L\\u00f3pez",8370,"La Liga",,,571615,6.93,1618,51.3,36,1.5,0.08,0.13,0.7,4.4,1.7,1.3,5.3,,,,,,,2.1,5,1.2,4,,4,,0.9,0.05,0.7,0.2,1.2,4.2,1,0.2,0.4,4,,1,,,,,,2025/2026,24200,,
"Dani Calvo",8670,"La Liga",,,545905,6.7,1609,40,2,0.2,0.01,0.03,0.1,11.7,1.5,8.1,2,1,,,,,,0.6,3,0.6,1,,,,0.3,0.02,,,0.2,1.7,,1.5,,,,,,,,,,2025/2026,24201,,
"Rub\\u00e9n Vargas",8302,"La Liga",,,860752,7,1608,22.9,28,2.4,0.13,0.31,1.2,2.2,1.1,0.7,4.5,,,,,,,0.7,2,0.4,4,3,9,0.17,3.2,0.18,2.8,0.4,2.3,1.4,,0.1,0.7,6,,,,,,,,2025/2026,24202,,
"Mart\\u00edn Satriano",8305,"La Liga",,,1197039,,1604,,15,1.4,,,,,,,,,,,,,,,5,,5,6,7,,4.3,,4.8,,,,1,,,1,,,,,,,,2025/2026,24203,,
"Pablo Torre",8661,"La Liga",,,1233404,6.79,1603,38.3,35,2.9,0.16,0.26,0.9,2.6,1.2,0.7,4.7,,,,,,,1.6,4,0.5,4,4,8,0.22,1.7,0.1,2.9,0.7,1.4,1.9,3,0.1,0.6,4,,,,,,,,2025/2026,24204,,
"Jorge Herrando",8371,"La Liga",,,1098365,6.65,1598,34,2,0.8,0.05,0.06,0.2,9.5,1.8,6.1,2.1,,,,,,,1.4,3,1,1,,1,,0.3,0.02,,,0.2,1.4,1,0.6,,1,1,,,,,,,2025/2026,24205,,
"Bryan Gil",7732,"La Liga",,,970692,6.53,1586,24.6,21,2.7,0.16,0.32,1.9,3,1.8,0.6,4.5,,,,,,,1.1,6,0.5,6,,3,,2.9,0.16,0.8,0.4,1.5,0.5,3,0.1,0.5,3,,,,,,,,2025/2026,24206,,
"\\u00c1lex Baena",9906,"La Liga",,,942372,6.89,1572,33.8,46,6.1,0.35,0.46,0.8,2.9,1,0.7,3.6,,,,,,,1.5,5,0.9,13,2,5,0.11,2,0.11,2.2,0.4,1.7,1.4,1,0.2,0.4,3,,,,,,,,2025/2026,24207,,
"L\\u00e9o P\\u00e9trot",10268,"La Liga",,,708457,6.65,1568,47.4,2,0.3,0.02,0.05,0.2,8,2.1,4.1,4,,,,,,,1.1,2,0.9,1,,,,0.6,0.04,,,0.5,1.8,,0.9,0.1,,,1,,,,,,2025/2026,24208,,
"Ricardo Rodr\\u00edguez",8603,"La Liga",,,115591,6.72,1546,31.3,7,0.4,0.02,0.03,0.1,5.9,1.4,3.9,2.6,,,,,,,0.6,,0.5,1,,1,,0.1,0.01,,,0.2,1.2,,0.2,0.1,1,,,,,,,,2025/2026,24209,,
"Fran Beltr\\u00e1n",7732,"La Liga",,,785511,6.77,1544,56.3,13,1,0.06,0.1,0.4,4.8,2,1.5,4,,,,,,,1.2,3,1,2,1,1,0.06,0.7,0.04,1.8,0.2,0.9,2.6,,0.3,0.5,,,,,,,,,2025/2026,24210,,
"Eduardo Camavinga",8633,"La Liga",,,1015185,7.04,1526,58.8,15,2.1,0.12,0.19,0.8,6.7,3.8,1.4,5,,,,,,,2,2,0.8,2,1,1,0.06,1.2,0.07,1.2,0.1,0.8,3.4,,0.6,0.5,,,,,,,,,2025/2026,24211,,
"Kervin Arriaga",8581,"La Liga",,,839750,6.79,1526,35,7,1,0.06,0.12,0.5,7.7,2.4,3.6,5.2,,,,,,,1.2,6,0.8,2,3,6,0.18,1,0.06,1.9,0.4,0.9,1.7,,0.8,0.1,3,,1,,,,,,2025/2026,24212,,
"Takefusa Kubo",8560,"La Liga",,,848289,7.05,1508,23.2,32,3.5,0.21,0.35,2.2,3,1.7,0.6,3.2,,,,,,,0.5,2,0.7,7,2,6,0.12,2.4,0.14,1.8,0.7,1.7,0.4,2,,0.5,4,,,,,,,,2025/2026,24213,,
"Filip Ugrinic",10267,"La Liga",,,800615,6.85,1507,32.8,23,2.7,0.16,0.22,1.1,4.4,1.5,2,4.7,,,,,,,1,3,0.7,6,,3,,1,0.06,0.7,0.2,1.2,1.7,,0.2,0.7,3,,,,,,,,2025/2026,24214,,
"Jes\\u00fas Areso",8315,"La Liga",,,1037537,6.79,1504,29,23,1.3,0.08,0.09,0.8,5.9,1.3,3.1,3.4,,,,,,,1.1,3,1.1,3,,1,,0.1,0.01,,,0.2,1.1,,0.5,0.2,1,,,,,,,,2025/2026,24215,,
"Pablo Mar\\u00edn",8560,"La Liga",,,1293912,6.36,1494,17.8,13,1.3,0.08,0.15,1,2.7,1.1,1,3.6,,,,,,,1.3,2,0.5,2,,1,,1.2,0.08,0.6,0.2,0.8,0.5,2,0.1,0.2,1,1,,,,,,,2025/2026,24216,,
"Abderrahman Rebbach",9866,"La Liga",,,1200941,6.66,1492,22.1,30,3,0.18,0.32,1.1,4.8,2.5,1.4,4.8,,,,,,,2.4,8,0.9,9,1,5,0.06,2.3,0.14,2,0.7,2.1,1.2,3,,0.3,4,,,,,,,,2025/2026,24217,,
"Dani Raba",10267,"La Liga",,,784246,,265,,2,0.4,,,,,,,,,,,,,,,,,1,,1,,0.4,,0.1,,,,,,,1,,,,,,,,2025/2026,24439,,
"Carl Starfelt",9910,"La Liga",,,497662,6.76,1492,58.7,1,0.1,0.01,0.04,0.1,9.7,1.4,6.5,3,,,,,,,1.1,1,1,,,,,0.6,0.03,0.5,0.1,0.2,1.9,2,0.8,,,,1,,,,,,2025/2026,24218,,
"Antonio R\\u00fcdiger",8633,"La Liga",,,276738,,1492,,2,0.6,,,,,,,,,,,,,,,,,1,1,1,,0.9,,0.6,,,,1,,,,,,,,,,,2025/2026,24219,,
"Isaac Romero",8302,"La Liga",,,1130991,6.42,1490,14.7,14,0.6,0.03,0.35,0.6,2.5,1,1.1,3.7,,,,,,,1.8,4,0.4,2,4,4,0.24,5.3,0.32,4.4,0.8,2.5,1,8,0.1,1,,2,1,,,,,,2025/2026,24220,,
"Pacha Espino",8370,"La Liga",,,526968,6.83,1480,25.5,19,2.4,0.14,0.24,1,6.3,3.2,1.9,5.4,1,,,,,,1.5,3,0.9,7,2,2,0.12,1.6,0.1,1.5,0.5,1.2,1.6,3,0.3,0.4,,1,,,,,,,2025/2026,24221,,
"Joel Roca",7732,"La Liga",,,1326043,6.54,1469,19.5,16,2.1,0.13,0.35,2.3,2.5,1.4,0.9,3.9,,,,,,,0.9,4,0.1,2,3,4,0.18,3.7,0.23,3.6,1,2.9,0.3,5,0.1,0.3,1,1,1,,,,,,2025/2026,24222,,
"Antoine Griezmann",9906,"La Liga",,,184138,6.9,1468,36.9,31,4.2,0.25,0.72,0.6,2.3,0.9,0.8,3.9,,,,,,,0.2,1,0.5,9,7,11,0.43,7.6,0.47,9.2,1.5,2.9,2,9,0.1,0.6,4,,,,,,,,2025/2026,24223,,
"Nicol\\u00e1s Gonz\\u00e1lez",9906,"La Liga",,,841672,6.96,1453,25.1,12,2,0.12,0.39,1.5,4.1,1.5,1.7,3.8,,,,,,,1.7,4,0.7,3,5,5,0.31,4.2,0.26,6.4,1.2,2.7,1.4,6,0.2,0.5,,1,1,,,,,,2025/2026,24224,,
"Abdelkabir Abqar",8305,"La Liga",,,956921,6.74,1440,19.9,4,0.4,0.02,0.04,0.1,9.4,2.4,5.1,2.8,1,,,,,,1.8,10,1.4,3,,2,,0.3,0.02,0.1,0.1,0.4,3.4,1,0.5,0.1,2,,1,,,,,,2025/2026,24225,,
"I\\u00f1aki Pe\\u00f1a",10268,"La Liga",,,990996,,1440,,3,0.2,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2025/2026,24226,,
"Pablo Dur\\u00e1n",9910,"La Liga",,,1322858,6.5,1424,16.5,10,1.5,0.1,0.37,0.4,2.5,1,0.9,3.1,,,,,,,0.9,1,0.4,3,2,4,0.13,4.3,0.27,3.3,0.9,2.3,1,5,0.2,0.8,2,,,,,,,,2025/2026,24227,,
Oso,8302,"La Liga",,,1575945,6.87,1409,21.3,21,1.4,0.09,0.17,1.1,3.4,1.7,1.1,3.4,1,,,,,,0.8,1,0.4,3,2,5,0.13,1.3,0.08,1.7,0.5,1.1,1.1,1,0.2,0.3,3,,,,,,,,2025/2026,24228,,
"Denis Su\\u00e1rez",9866,"La Liga",,,282281,6.59,1406,43.8,22,1.7,0.11,0.17,1.6,2.8,1.5,0.8,5.9,,,,,,,1.3,6,0.4,2,1,3,0.06,1,0.06,1,0.3,0.6,1.7,2,0.2,0.6,2,,,,,,,,2025/2026,24229,,
"Javi Rueda",9910,"La Liga",,,1310440,6.92,1404,26.1,14,2.8,0.18,0.27,1.3,5.1,1.3,2.1,3.4,,,,,,,1.6,6,1.3,7,2,8,0.13,1.3,0.08,0.5,0.2,0.7,1.3,2,0.4,0.2,6,1,,,,,,,2025/2026,24230,,
"Clemens Riedel",8558,"La Liga",,,1279557,6.77,1397,46.2,4,0.2,0.01,0.02,0.1,9.3,1.8,6.4,3.4,,,,,,,1.5,5,0.7,,,1,,0.1,0.01,0,0.1,0.2,3,,0.4,,1,,,,,,,,2025/2026,24231,,
"Giovani Lo Celso",8603,"La Liga",,,604126,7.02,1396,49.1,33,2.4,0.15,0.31,1,2.1,1.2,0.5,4.8,1,,,,,,0.6,4,0.4,6,2,5,0.13,2.5,0.16,3.5,0.7,1.9,2.3,2,,0.9,3,,,,,,,,2025/2026,24232,,
"Thierry Correia",10267,"La Liga",,,992052,6.72,1394,34.2,13,1.9,0.12,0.14,0.5,4.8,2,1.7,3.6,1,,,,,,1.8,4,1.1,3,,2,,0.4,0.02,0.1,0.1,0.3,1.2,,,0.4,2,,,,,,,,2025/2026,24233,,
"Cl\\u00e9ment Lenglet",9906,"La Liga",,,488412,,1393,52.4,4,0.4,0.03,0.06,0.2,7.9,1.4,4.7,3.2,,,,,,,1.4,4,1.4,2,,1,,0.4,0.03,,,0.3,6.3,,0.4,,1,,1,,,,,,2025/2026,24234,,
"Dani Parejo",10205,"La Liga",,,75307,6.78,1390,51.3,25,1.4,0.09,0.15,0.5,4.9,2.7,1,4.4,,,,,,,1,3,0.8,3,1,1,0.06,1,0.06,0.9,0.1,0.2,3.6,,0.5,0.1,,,,,,,,,2025/2026,24235,,
Raphinha,8634,"La Liga",,,696679,7.77,1388,33.7,41,5.8,0.38,1.05,1.4,2.1,1,0.7,3,,,,,,,0.6,5,0.3,11,13,16,0.84,10.4,0.67,11.3,1.6,4.2,1.8,6,0.1,0.8,3,1,,,,,,,2025/2026,24236,,
"Marc Pubill",9906,"La Liga",,,1323897,7.17,1382,52.4,3,0.6,0.04,0.1,0.3,9.4,1.6,5.5,3.9,,,,,,,1,2,1.3,1,1,2,0.07,0.9,0.06,1.4,0.3,0.7,1.6,,1,,1,,,,,,,,2025/2026,24237,,
"Lucas Beltr\\u00e1n",10267,"La Liga",,,974755,6.48,1366,20.2,13,1.5,0.1,0.36,1.1,2.6,1.4,0.9,3.3,,,,,,,1.7,1,0.3,4,1,3,0.07,4.1,0.27,1.5,0.6,2.2,0.6,7,0.1,0.5,2,1,,,,,,,2025/2026,24238,,
"Andoni Gorosabel",8315,"La Liga",,,839893,6.62,1358,31.5,16,1.4,0.1,0.11,0.8,6.2,2.5,2.6,3,,,,,,,0.9,3,1.1,2,,1,,0.2,0.02,0.2,0.1,0.3,0.3,,0.1,0.3,1,,,,,,,,2025/2026,24239,,
"Martim Neto",10268,"La Liga",,,1226189,6.79,1352,35.2,25,2.7,0.18,0.23,1.4,2.5,1.4,0.9,3.9,,,,,,,1.2,3,0.1,4,2,7,0.13,0.8,0.06,1.3,0.3,0.8,0.7,1,0.1,0.3,5,,,,,,,,2025/2026,24240,,
"Gerard Moreno",10205,"La Liga",,,246438,7.14,1350,30,23,2.3,0.15,0.57,1.1,2.5,1,1.1,2.7,,,,,,,0.9,,0.3,4,10,10,0.67,6.3,0.42,6.7,1.1,2.6,2.5,3,0.1,0.4,,1,,,,,,,2025/2026,24241,,
"Zaid Abner Romero",8305,"La Liga",,,1118199,,1350,,1,0.1,,,,,,,,1,,,,,,,3,,,1,1,,0.9,,0.3,,,,,,,,,1,,,,,,2025/2026,24242,,
"Be\\u00f1at Turrientes",8560,"La Liga",,,1210647,6.72,1347,40.2,12,0.7,0.05,0.1,1.3,5.4,2.7,1.7,5.2,,,,,,,1.9,7,0.6,1,,3,,0.8,0.05,1.1,0.4,1.3,1.7,,0.4,0.7,3,,,,,,,,2025/2026,24243,,
"Hugo Sotelo",9910,"La Liga",,,1254218,7.02,1342,61.6,26,2.2,0.15,0.16,0.1,4.6,2,1.1,6,,,,,,,1.8,3,0.9,5,,2,,0.1,0.01,0.2,0.1,0.1,2.8,,0.6,0.2,2,,,,,,,,2025/2026,24244,,
"Eray C\\u00f6mert",10267,"La Liga",,,705484,,1339,,6,0.5,,,,,,,,,,,,,,,3,,1,2,3,,1.2,,1.1,,,,,,,1,,1,,,,,,2025/2026,24245,,
"Carlos Esp\\u00ed",8581,"La Liga",,,1610744,7.02,1338,9.3,9,0.4,0.03,0.54,0.8,2.4,0.9,0.9,2.8,,,,,,,2.1,3,0.6,1,11,11,0.74,7.6,0.51,8.5,1.6,3.8,0.1,10,0.1,0.7,,,,,,,,,2025/2026,24246,,
"Hugo \\u00c1lvarez",9910,"La Liga",,,1308414,6.76,1337,35.1,25,1.9,0.13,0.31,1.1,2.3,1,0.6,3,,,,,,,1.1,2,0.7,5,4,6,0.27,2.7,0.18,2.4,0.5,0.9,0.9,3,,0.6,2,,,,,,,,2025/2026,24247,,
"Youssef Enr\\u00edquez",9866,"La Liga",,,1403692,6.64,1332,28.6,16,2.5,0.17,0.22,0.5,4.4,1.1,2.5,4.4,,,,,,,1.6,7,0.7,4,,1,,0.8,0.05,0.6,0.2,0.7,1.8,1,0.1,0.1,1,,,,,,,,2025/2026,24248,,
"Leander Dendoncker",8670,"La Liga",,,424129,,1332,32.2,6,0.5,0.03,0.09,0.3,6,2.4,2.3,3.6,1,,,,,,0.8,2,0.8,,1,1,0.07,0.8,0.05,1.4,0.3,0.6,0.9,1,0.5,0.1,,,,,,,,,2025/2026,24249,,
"Nahuel Molina",9906,"La Liga",,,726345,6.98,1321,38.4,21,1.6,0.11,0.14,1,6.1,2.7,2.2,5.5,,,,,,,1,4,0.9,6,2,4,0.14,0.5,0.03,1.1,0.3,1,1.7,1,0.3,0.4,2,,,,,,,,2025/2026,24250,,
"Oriol Rey",8581,"La Liga",,,914401,,1319,34.3,10,0.5,0.03,0.06,0.1,4.6,1.4,2.3,4.1,,,,,,,1.6,4,0.7,,,1,,0.5,0.03,0.2,0.1,0.5,1.6,,0.3,0.3,1,,,,,,,,2025/2026,24251,,
"Thiago Almada",9906,"La Liga",,,955271,6.73,1312,41,28,2.8,0.19,0.44,1.4,3.1,2,0.4,4.9,1,,,,,,0.9,2,0.5,4,3,4,0.21,3.7,0.25,3.8,0.7,1.4,1.9,5,0.1,1,1,,1,,,,,,2025/2026,24252,,
"Miguel Rom\\u00e1n",9910,"La Liga",,,1359911,6.89,1310,45.1,17,1.4,0.1,0.16,0.2,4.7,1.9,1.6,4.7,,,,,,,1.4,3,0.8,4,1,1,0.07,0.9,0.06,0.7,0.1,0.5,2.9,1,0.5,0.4,,,,,,,,,2025/2026,24253,,
"Guido Rodr\\u00edguez",10267,"La Liga",,,586768,,1308,,7,0.8,,,,,,,,1,,,,,,,4,,1,4,4,,1,,1.3,,,,,,,,,,,,,,,2025/2026,24254,,
"Alexis S\\u00e1nchez",8302,"La Liga",,,50047,6.67,1298,23,26,1.7,0.12,0.38,0.6,2.3,1.5,0.3,4.4,,,,,,,1.1,3,0.5,1,4,6,0.28,3.8,0.26,2.4,0.6,1.7,1,4,,0.7,2,,,,,,,,2025/2026,24255,,
"Sofyan Amrabat",8603,"La Liga",,,593116,,1296,,7,0.5,,,,,,,,,,,,,,,4,,,,,,0.3,,0,,,,,,,,,,,,,,,2025/2026,24256,,
"Robert Navarro",8315,"La Liga",,,1011117,6.57,1294,23.4,24,2.1,0.15,0.42,1.6,2.3,1.1,0.6,3.9,,,,,,,1.3,1,0.5,4,6,7,0.42,3.9,0.27,5.6,0.7,1.5,0.4,,0.1,0.9,1,,,,,,,,2025/2026,24257,,
"\\u00c1ngel P\\u00e9rez",9866,"La Liga",,,1563022,,1290,,24,2.1,,,,,,,,,,,,,,,4,,2,1,4,,1,,0.6,,,,1,,,3,,,,,,,,2025/2026,24258,,
"Andr\\u00e9s Lopez",8302,"La Liga",,,1334767,,1275,45.6,2,0.2,0.01,0.04,0.6,10.1,1.8,5.9,4.6,,,,,,,0.9,4,1.4,,1,1,0.07,0.4,0.03,0.1,0.2,0.7,3.4,,1,,,,,,,,,,2025/2026,24259,,
"Williot Swedberg",9910,"La Liga",,,1272740,6.62,1268,16.2,10,1.3,0.09,0.4,0.7,2.9,2,0.5,2.2,,,,,,,2.1,2,0.3,4,5,10,0.35,4.3,0.3,4.9,0.9,1.6,0.3,4,0.1,0.5,5,,,,,,,,2025/2026,24260,,
"Alejandro Rego",8315,"La Liga",,,1425769,6.57,1265,31.5,11,1.3,0.1,0.14,0.6,6.3,3,1.1,5.1,1,,,,,,2.8,6,1.8,1,1,2,0.07,0.6,0.04,0.8,0.2,0.9,1.8,,0.4,0.6,1,,,,,,,,2025/2026,24261,,
"Thomas Lemar",7732,"La Liga",,,468931,6.66,1259,41.5,19,1.5,0.11,0.25,1.4,2.6,1.9,0.1,4.1,,,,,,,1.4,4,0.4,1,3,4,0.21,1.9,0.14,2.3,0.6,1.2,1.6,1,0.1,0.7,1,,,,,,,,2025/2026,24262,,
"Carlos Vicente",9866,"La Liga",,,1229177,7,1256,27.1,26,2.6,0.19,0.44,0.8,3.6,1.9,1,4.5,,,,,,,0.9,1,0.5,7,5,5,0.36,3.6,0.26,4.1,0.4,0.9,0.5,1,0.1,0.4,,1,,,,,,,2025/2026,24263,,
