player_id,name,national_team,is_international
1226147,"Giuliano Simeone",Argentina,t
1253890,"Arda G\\u00fcler",Turkiye,t
1284429,"Javier Guerra",Spain,t
1367619,"Dean Huijsen",Spain,t
195305,"Marc Bartra",Spain,t
440330,"Alexander S\\u00f8rloth",Norway,t
561164,"Lucas Boy\\u00e9",Argentina,t
592412,"Mat\\u00edas Dituro",,f
593129,"Pere Milla",,f
609505,"Borja Iglesias",Spain,t
872396,"Path\\u00e9 Ciss",Senegal,t
881771,"Ferran Torres",Spain,t
929838,"Hugo Duro","Spain U21",f
952095,"\\u00d3scar Mingueza",Spain,t
971787,"Haissem Hassan",Egypt,t
974753,"Juli\\u00e1n \\u00c1lvarez",Argentina,t
1059657,"Sergi Cardona",,f
1077894,"Jude Bellingham",England,t
1132355,"\\u00c1lvaro N\\u00fa\\u00f1ez",,f
1158512,"Juanlu S\\u00e1nchez","Spain U23",f
1209980,"Carlos \\u00c1lvarez","Spain U19",f
