name,team,league,position,apps,minutes,us_goals,us_npg,us_assists,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_xg,us_npxg,us_xa,us_xg_chain,us_xg_buildup,xg90,npxg90,xa90,xg90_xa90,npxg90_xa90,xgchain90,xgbuildup90,season,row_id,norm_name,source
Dmitri Rybchinsky,FC Orenburg,Russian Premier League,F M S,19,1184,0,0,1,16,24,1,0,0.956,0.956,2.511,5.739,3.0029,0.0727,0.0727,0.1909,0.2636,0.2636,0.4362,0.2283,2026/2027,9516,,
Bogdan Ovsyannikov,FC Orenburg,Russian Premier League,GK,29,2610,0,0,0,1,0,4,0,0.4348,0.4348,0.0,1.9346,1.9346,0.015,0.015,0.0,0.015,0.015,0.0667,0.0667,2026/2027,9517,,
Baktiyor Zainutdinov,Dinamo Moscow,Russian Premier League,D M S,8,529,0,0,0,10,0,1,0,0.427,0.427,0.0,2.7918,2.5456,0.0726,0.0726,0.0,0.0726,0.0726,0.475,0.4331,2026/2027,9518,,
Nail Umiarov,Spartak Moscow,Russian Premier League,M,29,2601,0,0,3,19,20,8,0,0.5069,0.5069,2.0762,9.8885,7.87,0.0175,0.0175,0.0718,0.0893,0.0893,0.3422,0.2723,2026/2027,9519,,
Ilya Agapov,Akron,Russian Premier League,S,1,42,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9520,,
Konstantin Maradishvili,Akron,Russian Premier League,M S,13,684,0,0,0,17,7,2,0,0.6903,0.6903,0.4415,1.8614,1.0693,0.0908,0.0908,0.0581,0.1489,0.1489,0.2449,0.1407,2026/2027,9521,,
Dmitriy Chistyakov,FC Rostov,Russian Premier League,D S,22,1873,0,0,0,8,2,5,2,0.615,0.615,0.0724,1.0051,0.7736,0.0296,0.0296,0.0035,0.0331,0.0331,0.0483,0.0372,2026/2027,9522,,
David Volk,Dynamo Makhachkala,Russian Premier League,GK,15,1350,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4208,0.4208,0.0,0.0,0.0,0.0,0.0,0.0281,0.0281,2026/2027,9523,,
Soltmurad Bakaev,Akron,Russian Premier League,F S,13,581,0,0,0,13,6,2,0,0.6532,0.6532,0.5379,2.256,1.2151,0.1012,0.1012,0.0833,0.1845,0.1845,0.3495,0.1882,2026/2027,9524,,
Danila Prokhin,FC Rostov,Russian Premier League,D M S,15,735,0,0,0,7,7,4,0,0.1124,0.1124,0.2293,1.5294,1.2988,0.0138,0.0138,0.0281,0.0419,0.0419,0.1873,0.159,2026/2027,9525,,
