analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Alan Matturro",861981,reep,,reep_p0e66ac62,1412942,1177401,,
"Alan Mwamba",428786,fuzzy,90,,,,,
"Alan Varela",756990,reep,,reep_p02a232ba,,1066560,9ffb2ce6,
"Alan Virginius",654415,reep,,reep_pbb6766a6,,1048014,01becd60,
"Alasana Yirajang",1231655,reep,,reep_p774a29ba,,1804850,,
"Alassana Jatta",631704,reep,,reep_p1dae38b4,,978748,,
"Alassane Diatta",1249340,reep,,reep_p3f0f0d90,,,,
"Alban Ajdini",511801,reep,,reep_p500b8521,,1046302,7dd0416b,
"Alban Lafont",357117,reep,,reep_p94097b7c,,826201,4e7db402,
"Albert Adomah",83430,reep,,reep_p0120f3ff,,33102,c7174e81,1782
"Albert Dabiqaj",497191,manual,,,,,,
"Albert Eames",1078691,reep,,reep_p7fa6954d,,1822986,,
"Albert Grønbæk",503866,reep,,reep_p43a16185,1133381,1000263,0da5076f,12880
"Albert Gudmundsson",305947,reep,,reep_p00d8eaa2,665188,804909,b79858d5,
"Albert Navarro",563137,fuzzy,85.7143,,,,,
"Albert Niculaesei",1196497,manual,,,,,,
"Albert Rusnák",172543,reep,,reep_pfc780e8e,,,b514de1e,
"Albert Sambi Lokonga",381967,reep,,reep_p2e193270,901495,901892,1b4f1169,9689
"Alberto Cerri",197751,reep,,reep_pf8266f22,,187121,1079c685,
"Alberto Costa",77003,reep,,reep_p0326598b,,51404,8f747a86,
"Alberto Dossena",385394,reep,,reep_pf41367db,822789,870211,61efb926,
"Alberto Grassi",197473,reep,,reep_p5e77fae1,575364,186845,6cc97b6a,
"Alberto Moleiro",733576,reep,,reep_pbc7c35ce,,1012444,c2c8897d,
"Alberto Moreno",207917,reep,,reep_pae7bd675,314605,229740,11b9265b,608
"Alberto Paleari",163048,reep,,reep_pf0577385,415137,259281,94a3606c,
"Alberto Reina",603696,reep,,reep_p49618ef4,1323510,882475,,
"Alberto Risco",1255616,reep,,reep_pbd1021b1,1637438,1841875,,
"Albian Ajeti",195906,reep,,reep_p9e00f294,,282247,2b1c4abd,2673
"Albian Hajdari",579459,reep,,reep_p3bbefc6e,1186015,1000269,84b5ffd6,
"Albie Morgan",606026,reep,,reep_p530e972d,,944264,,
"Albion Rrahmani",903706,reep,,reep_p7cf01851,,1124624,,
"Aleix Febas",217144,reep,,reep_pe1d21c9c,671686,286167,38126309,
"Glenn Morris",48261,reep,,reep_p8286521d,,20214,5060edd1,
"Alejandro Alvarado",763798,reep,,reep_pf477be49,,1025305,14c93be3,
"Alejandro Balde",636688,reep,,reep_pfa6ebeba,1254166,997035,5ccc9672,
"Alejandro Bedoya",111783,reep,,reep_p86b23e1d,,49855,9a6f8dfd,
"Alejandro Catena",449796,reep,,reep_p85d2aced,814663,900792,,
"Alejandro Francés",632896,reep,,reep_pe7697392,1112511,1002347,3e78a188,
"Alejandro Garnacho",811779,reep,,reep_pdc19d2e0,1203665,1135873,7aa8adfe,10552
"Alejandro Grimaldo",193082,reep,,reep_pf8c114c2,,177177,b1f4086c,
"Alejandro Mestanza",1118201,manual,,,,,,
"Alejandro Rego",834491,reep,,reep_p92779fb2,1425769,2110897,,
"Alejandro Rodríguez",72656,reep,,reep_p35be58ab,,,,
"Alejandro Vergaz",937959,manual,,,,,,
"Alejo Sarco",1000675,reep,,reep_p3299061f,1617224,1482433,,
"Aleksa Damjanovic",1073625,reep,,reep_pbf473577,,1825956,,
"Aleksa Puric",699233,reep,,reep_pda365ba3,1527038,1100964,,
"Aleksa Terzic",404260,reep,,reep_p29d5adbc,,876860,3ef0a2d7,
"Aleksandar Katai",139915,reep,,reep_pf96e8ef9,,110701,d5127c3f,
"Aleksandar Martinov",639700,manual,,,,,,
"Aleksandar Pavlovic",792380,reep,,reep_pb194d9de,1473580,1142251,,
"Aleksandar Pesic",73457,reep,,reep_p7a47589d,,41069,a2f2d806,
"Aleksandar Stankovic",780136,reep,,reep_pf19c6761,,1153957,,
"Aleksandr Golovin",263918,reep,,reep_p39e81ed4,586388,,3708e9fa,
"Aleksandr Guboglo",1108459,reep,,reep_pd488799e,,1469755,,
"Aleksandr Martynovich",59352,reep,,reep_p969269db,,56544,675b0427,
"Aleksandr Mrynskiy",858389,manual,,,,,,
"Aleksandr Shirobokov",661114,reep,,reep_p487a4fb5,,1000277,d2aa89bf,
"Aleksandër Trumçi",834018,reep,,reep_p7ffce1f8,,1887752,,
"Aleksey Miranchuk",255450,reep,,reep_pa7d72e2f,,324353,a9aa0d1d,
"Aleksey Ploshchadnyi",816474,manual,,,,,,
Alemão,117634,reep,,reep_pbe2684f2,,,,
"Alen Grgic",285077,reep,,reep_p5c9162c0,,344177,814d7ead,
"Alen Mustafic",368631,reep,,reep_p80786084,,927799,,
"Alessandro Bastoni",315853,reep,,reep_p5028fe49,805451,826188,75b86fb3,
